,density,zoom,longitude,latitude,source,rotation
0,4,20,15.873852446964696,44.813268285829146,google,0
1,4,20,15.873852446964696,44.813268285829146,google,135
2,4,20,15.873852446964696,44.813268285829146,google,180
3,4,20,15.873852446964696,44.813268285829146,google,225
4,4,20,15.873852446964696,44.813268285829146,google,270
5,4,20,15.873852446964696,44.813268285829146,google,315
6,4,20,15.873852446964696,44.813268285829146,google,45
7,4,20,15.873852446964696,44.813268285829146,google,90
8,4,20,15.87471028538015,44.81386755437477,google,0
9,4,20,15.87471028538015,44.81386755437477,google,135
10,4,20,15.87471028538015,44.81386755437477,google,180
11,4,20,15.87471028538015,44.81386755437477,google,225
12,4,20,15.87471028538015,44.81386755437477,google,270
13,4,20,15.87471028538015,44.81386755437477,google,315
14,4,20,15.87471028538015,44.81386755437477,google,45
15,4,20,15.87471028538015,44.81386755437477,google,90
16,4,20,15.875568123795604,44.81147048019229,google,0
17,4,20,15.875568123795604,44.81147048019229,google,135
18,4,20,15.875568123795604,44.81147048019229,google,180
19,4,20,15.875568123795604,44.81147048019229,google,225
20,4,20,15.875568123795604,44.81147048019229,google,270
21,4,20,15.875568123795604,44.81147048019229,google,315
22,4,20,15.875568123795604,44.81147048019229,google,45
23,4,20,15.875568123795604,44.81147048019229,google,90
24,4,20,16.151792093571785,44.88128526575689,google,0
25,4,20,16.151792093571785,44.88128526575689,google,135
26,4,20,16.151792093571785,44.88128526575689,google,180
27,4,20,16.151792093571785,44.88128526575689,google,225
28,4,20,16.151792093571785,44.88128526575689,google,270
29,4,20,16.151792093571785,44.88128526575689,google,315
30,4,20,16.151792093571785,44.88128526575689,google,45
31,4,20,16.151792093571785,44.88128526575689,google,90
32,4,20,16.152221012779513,44.88008672866565,google,0
33,4,20,16.152221012779513,44.88008672866565,google,135
34,4,20,16.152221012779513,44.88008672866565,google,180
35,4,20,16.152221012779513,44.88008672866565,google,225
36,4,20,16.152221012779513,44.88008672866565,google,270
37,4,20,16.152221012779513,44.88008672866565,google,315
38,4,20,16.152221012779513,44.88008672866565,google,45
39,4,20,16.152221012779513,44.88008672866565,google,90
40,4,20,16.152221012779513,44.88368233993936,google,0
41,4,20,16.152221012779513,44.88368233993936,google,135
42,4,20,16.152221012779513,44.88368233993936,google,180
43,4,20,16.152221012779513,44.88368233993936,google,225
44,4,20,16.152221012779513,44.88368233993936,google,270
45,4,20,16.152221012779513,44.88368233993936,google,315
46,4,20,16.152221012779513,44.88368233993936,google,45
47,4,20,16.152221012779513,44.88368233993936,google,90
48,4,20,16.152649931987238,44.87978709439284,google,0
49,4,20,16.152649931987238,44.87978709439284,google,135
50,4,20,16.152649931987238,44.87978709439284,google,180
51,4,20,16.152649931987238,44.87978709439284,google,225
52,4,20,16.152649931987238,44.87978709439284,google,270
53,4,20,16.152649931987238,44.87978709439284,google,315
54,4,20,16.152649931987238,44.87978709439284,google,45
55,4,20,16.152649931987238,44.87978709439284,google,90
56,4,20,16.153507770402694,44.88368233993936,google,0
57,4,20,16.153507770402694,44.88368233993936,google,135
58,4,20,16.153507770402694,44.88368233993936,google,180
59,4,20,16.153507770402694,44.88368233993936,google,225
60,4,20,16.153507770402694,44.88368233993936,google,270
61,4,20,16.153507770402694,44.88368233993936,google,315
62,4,20,16.153507770402694,44.88368233993936,google,45
63,4,20,16.153507770402694,44.88368233993936,google,90
64,4,20,16.154365608818146,44.88248380284812,google,0
65,4,20,16.154365608818146,44.88248380284812,google,135
66,4,20,16.154365608818146,44.88248380284812,google,180
67,4,20,16.154365608818146,44.88248380284812,google,225
68,4,20,16.154365608818146,44.88248380284812,google,270
69,4,20,16.154365608818146,44.88248380284812,google,315
70,4,20,16.154365608818146,44.88248380284812,google,45
71,4,20,16.154365608818146,44.88248380284812,google,90
72,4,20,16.1552234472336,44.877989288755984,google,0
73,4,20,16.1552234472336,44.877989288755984,google,135
74,4,20,16.1552234472336,44.877989288755984,google,180
75,4,20,16.1552234472336,44.877989288755984,google,225
76,4,20,16.1552234472336,44.877989288755984,google,270
77,4,20,16.1552234472336,44.877989288755984,google,315
78,4,20,16.1552234472336,44.877989288755984,google,45
79,4,20,16.1552234472336,44.877989288755984,google,90
80,4,20,16.155652366441327,44.87619148311913,google,0
81,4,20,16.155652366441327,44.87619148311913,google,135
82,4,20,16.155652366441327,44.87619148311913,google,180
83,4,20,16.155652366441327,44.87619148311913,google,225
84,4,20,16.155652366441327,44.87619148311913,google,270
85,4,20,16.155652366441327,44.87619148311913,google,315
86,4,20,16.155652366441327,44.87619148311913,google,45
87,4,20,16.155652366441327,44.87619148311913,google,90
88,4,20,16.15779696247996,44.87619148311913,google,0
89,4,20,16.15779696247996,44.87619148311913,google,135
90,4,20,16.15779696247996,44.87619148311913,google,180
91,4,20,16.15779696247996,44.87619148311913,google,225
92,4,20,16.15779696247996,44.87619148311913,google,270
93,4,20,16.15779696247996,44.87619148311913,google,315
94,4,20,16.15779696247996,44.87619148311913,google,45
95,4,20,16.15779696247996,44.87619148311913,google,90
96,4,20,16.380834950497995,45.04578448152926,google,0
97,4,20,16.380834950497995,45.04578448152926,google,135
98,4,20,16.380834950497995,45.04578448152926,google,180
99,4,20,16.380834950497995,45.04578448152926,google,225
100,4,20,16.380834950497995,45.04578448152926,google,270
101,4,20,16.380834950497995,45.04578448152926,google,315
102,4,20,16.380834950497995,45.04578448152926,google,45
103,4,20,16.380834950497995,45.04578448152926,google,90
104,4,20,16.381263869705723,45.04428631016521,google,0
105,4,20,16.381263869705723,45.04428631016521,google,135
106,4,20,16.381263869705723,45.04428631016521,google,180
107,4,20,16.381263869705723,45.04428631016521,google,225
108,4,20,16.381263869705723,45.04428631016521,google,270
109,4,20,16.381263869705723,45.04428631016521,google,315
110,4,20,16.381263869705723,45.04428631016521,google,45
111,4,20,16.381263869705723,45.04428631016521,google,90
112,4,20,16.382550627328904,45.043387407346785,google,0
113,4,20,16.382550627328904,45.043387407346785,google,135
114,4,20,16.382550627328904,45.043387407346785,google,180
115,4,20,16.382550627328904,45.043387407346785,google,225
116,4,20,16.382550627328904,45.043387407346785,google,270
117,4,20,16.382550627328904,45.043387407346785,google,315
118,4,20,16.382550627328904,45.043387407346785,google,45
119,4,20,16.382550627328904,45.043387407346785,google,90
120,4,20,16.537390461318342,45.21897309121311,google,0
121,4,20,16.537390461318342,45.21897309121311,google,135
122,4,20,16.537390461318342,45.21897309121311,google,180
123,4,20,16.537390461318342,45.21897309121311,google,225
124,4,20,16.537390461318342,45.21897309121311,google,270
125,4,20,16.537390461318342,45.21897309121311,google,315
